project,fault,runtime
Lang,21,35
Lang,22,26
Lang,23,21
Lang,24,158
Lang,25,32
Lang,26,51
Lang,27,149
Lang,28,21
Lang,29,828
Lang,30,1091
Lang,31,1042
Lang,32,19
Lang,33,362
Lang,34,99
Lang,35,1652
Lang,36,161
Lang,37,683
Lang,38,67
Lang,39,737
Lang,40,648
Lang,41,207
Lang,42,72
Lang,43,38
Lang,44,22
Lang,45,143
Lang,46,24
Lang,47,339
Lang,48,329
Lang,49,26
Lang,50,47
Lang,51,163
Lang,52,69
Lang,53,32
Lang,54,14
Lang,55,11
Lang,56,42
Lang,57,17
Lang,58,314
Lang,59,283
Lang,60,301
Lang,61,295
Lang,62,58
Lang,63,13
Lang,64,128
Lang,65,33
Lang,100061,355
Lang,100062,312
Lang,100063,348
Lang,100064,319
Lang,100065,354
Lang,100066,349
Lang,100067,357
Lang,100072,348
Lang,100073,371
Lang,100074,360
Lang,100075,349
Lang,100076,356
Lang,100077,380
Lang,100078,347
Lang,100079,337
Lang,100080,355
Lang,100081,377
Lang,100082,337
Lang,100083,335
Lang,100084,363
Lang,100085,354
Lang,100086,374
Lang,100087,357
Lang,100088,368
Lang,100089,344
Lang,100091,354
Lang,100092,354
Lang,100093,364
Lang,100094,319
Lang,100095,348
Lang,100096,349
Lang,100097,355
Lang,100098,319
Lang,100099,366
Lang,100100,350
Lang,100101,349
Lang,100102,355
Lang,100103,319
Lang,100104,352
Lang,100105,362
Lang,100106,381
Lang,100107,350
Lang,100108,350
Lang,200004,20
Lang,200005,23
Lang,300199,316
Lang,300200,363
Lang,300201,350
Lang,300202,334
Lang,300203,348
Lang,300216,345
Lang,300217,346
Lang,300218,317
Lang,300219,360
Lang,300220,354
Lang,400001,173
Lang,400002,181
Lang,400003,199
Lang,400004,185
Lang,400005,172
Lang,400006,164
Lang,400034,190
Lang,500012,20
Lang,500013,23
Lang,500014,21
Lang,500015,23
Lang,500016,21
Lang,500017,21
Lang,500018,23
Lang,500019,21
Lang,500020,20
Lang,500021,22
Lang,500022,19
Lang,500023,22
Lang,500024,21
Lang,500025,21
Lang,500026,21
Lang,500027,23
Lang,500028,20
Lang,500029,22
Lang,500030,21
Lang,500031,22
Lang,500032,21
Lang,500033,21
Lang,500034,20
Lang,500035,24
Lang,500036,23
Lang,500037,21
Lang,500038,22
Lang,500039,21
Lang,500040,22
Lang,500041,20
Lang,500042,23
Lang,500043,23
Lang,500044,21
Lang,500045,22
Lang,500046,22
Lang,500047,21
Lang,500048,20
Lang,600026,1266
Lang,700052,346
